,Theater,Link,city
117,CGV세종,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0219&date=20230530,대전/충청
118,CGV아산,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0356&date=20230530,대전/충청
119,CGV유성노은,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0206&date=20230530,대전/충청
120,CGV제천,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0331&date=20230530,대전/충청
121,CGV천안,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0044&date=20230530,대전/충청
122,CGV천안시청,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0332&date=20230530,대전/충청
123,CGV천안터미널,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0293&date=20230530,대전/충청
124,CGV천안펜타포트,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0110&date=20230530,대전/충청
125,CGV청주(서문),http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0228&date=20230530,대전/충청
126,CGV청주성안길,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0297&date=20230530,대전/충청
127,CGV청주율량,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0282&date=20230530,대전/충청
128,CGV청주지웰시티,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0142&date=20230530,대전/충청
129,CGV청주터미널,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0319&date=20230530,대전/충청
130,CGV충북혁신,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0284&date=20230530,대전/충청
131,CGV충주교현,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0328&date=20230530,대전/충청
132,CGV홍성,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0217&date=20230530,대전/충청
133,CGV대구,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0345&date=20230530,대구
134,CGV대구수성,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0157&date=20230530,대구
135,CGV대구스타디움,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0108&date=20230530,대구
